emotion,intensity,statement,repetition,actor,actor_name,file_name
happy,normal,01,01,female,actor_19,data/Actor_19/03-01-03-01-01-01-19.wav
happy,strong,02,01,female,actor_19,data/Actor_19/03-01-03-02-02-01-19.wav
fearful,normal,01,01,female,actor_19,data/Actor_19/03-01-06-01-01-01-19.wav
angry,normal,01,02,female,actor_19,data/Actor_19/03-01-05-01-01-02-19.wav
angry,strong,02,02,female,actor_19,data/Actor_19/03-01-05-02-02-02-19.wav
fearful,strong,02,01,female,actor_19,data/Actor_19/03-01-06-02-02-01-19.wav
sad,normal,02,01,female,actor_19,data/Actor_19/03-01-04-01-02-01-19.wav
disgust,normal,02,02,female,actor_19,data/Actor_19/03-01-07-01-02-02-19.wav
disgust,strong,01,02,female,actor_19,data/Actor_19/03-01-07-02-01-02-19.wav
sad,strong,01,01,female,actor_19,data/Actor_19/03-01-04-02-01-01-19.wav
surprised,strong,01,02,female,actor_19,data/Actor_19/03-01-08-02-01-02-19.wav
surprised,normal,02,02,female,actor_19,data/Actor_19/03-01-08-01-02-02-19.wav
happy,strong,01,01,female,actor_19,data/Actor_19/03-01-03-02-01-01-19.wav
happy,normal,02,01,female,actor_19,data/Actor_19/03-01-03-01-02-01-19.wav
calm,strong,02,02,female,actor_19,data/Actor_19/03-01-02-02-02-02-19.wav
calm,normal,01,02,female,actor_19,data/Actor_19/03-01-02-01-01-02-19.wav
neutral,normal,01,01,female,actor_19,data/Actor_19/03-01-01-01-01-01-19.wav
happy,strong,02,02,female,actor_19,data/Actor_19/03-01-03-02-02-02-19.wav
happy,normal,01,02,female,actor_19,data/Actor_19/03-01-03-01-01-02-19.wav
calm,strong,01,01,female,actor_19,data/Actor_19/03-01-02-02-01-01-19.wav
neutral,normal,02,02,female,actor_19,data/Actor_19/03-01-01-01-02-02-19.wav
calm,normal,02,01,female,actor_19,data/Actor_19/03-01-02-01-02-01-19.wav
angry,normal,02,01,female,actor_19,data/Actor_19/03-01-05-01-02-01-19.wav
fearful,normal,02,02,female,actor_19,data/Actor_19/03-01-06-01-02-02-19.wav
fearful,strong,01,02,female,actor_19,data/Actor_19/03-01-06-02-01-02-19.wav
angry,strong,01,01,female,actor_19,data/Actor_19/03-01-05-02-01-01-19.wav
disgust,normal,01,01,female,actor_19,data/Actor_19/03-01-07-01-01-01-19.wav
sad,normal,01,02,female,actor_19,data/Actor_19/03-01-04-01-01-02-19.wav
sad,strong,02,02,female,actor_19,data/Actor_19/03-01-04-02-02-02-19.wav
disgust,strong,02,01,female,actor_19,data/Actor_19/03-01-07-02-02-01-19.wav
surprised,strong,02,01,female,actor_19,data/Actor_19/03-01-08-02-02-01-19.wav
surprised,normal,01,01,female,actor_19,data/Actor_19/03-01-08-01-01-01-19.wav
happy,strong,02,02,male,actor_10,data/Actor_10/03-01-03-02-02-02-10.wav
happy,normal,01,02,male,actor_10,data/Actor_10/03-01-03-01-01-02-10.wav
calm,strong,01,01,male,actor_10,data/Actor_10/03-01-02-02-01-01-10.wav
calm,normal,02,01,male,actor_10,data/Actor_10/03-01-02-01-02-01-10.wav
neutral,normal,02,02,male,actor_10,data/Actor_10/03-01-01-01-02-02-10.wav
fearful,normal,02,02,male,actor_10,data/Actor_10/03-01-06-01-02-02-10.wav
angry,normal,02,01,male,actor_10,data/Actor_10/03-01-05-01-02-01-10.wav
angry,strong,01,01,male,actor_10,data/Actor_10/03-01-05-02-01-01-10.wav
fearful,strong,01,02,male,actor_10,data/Actor_10/03-01-06-02-01-02-10.wav
sad,normal,01,02,male,actor_10,data/Actor_10/03-01-04-01-01-02-10.wav
disgust,normal,01,01,male,actor_10,data/Actor_10/03-01-07-01-01-01-10.wav
disgust,strong,02,01,male,actor_10,data/Actor_10/03-01-07-02-02-01-10.wav
sad,strong,02,02,male,actor_10,data/Actor_10/03-01-04-02-02-02-10.wav
surprised,strong,02,01,male,actor_10,data/Actor_10/03-01-08-02-02-01-10.wav
surprised,normal,01,01,male,actor_10,data/Actor_10/03-01-08-01-01-01-10.wav
angry,normal,01,02,male,actor_10,data/Actor_10/03-01-05-01-01-02-10.wav
fearful,normal,01,01,male,actor_10,data/Actor_10/03-01-06-01-01-01-10.wav
fearful,strong,02,01,male,actor_10,data/Actor_10/03-01-06-02-02-01-10.wav
angry,strong,02,02,male,actor_10,data/Actor_10/03-01-05-02-02-02-10.wav
disgust,normal,02,02,male,actor_10,data/Actor_10/03-01-07-01-02-02-10.wav
sad,normal,02,01,male,actor_10,data/Actor_10/03-01-04-01-02-01-10.wav
sad,strong,01,01,male,actor_10,data/Actor_10/03-01-04-02-01-01-10.wav
disgust,strong,01,02,male,actor_10,data/Actor_10/03-01-07-02-01-02-10.wav
surprised,strong,01,02,male,actor_10,data/Actor_10/03-01-08-02-01-02-10.wav
surprised,normal,02,02,male,actor_10,data/Actor_10/03-01-08-01-02-02-10.wav
happy,strong,01,01,male,actor_10,data/Actor_10/03-01-03-02-01-01-10.wav
happy,normal,02,01,male,actor_10,data/Actor_10/03-01-03-01-02-01-10.wav
calm,strong,02,02,male,actor_10,data/Actor_10/03-01-02-02-02-02-10.wav
neutral,normal,01,01,male,actor_10,data/Actor_10/03-01-01-01-01-01-10.wav
calm,normal,01,02,male,actor_10,data/Actor_10/03-01-02-01-01-02-10.wav
sad,strong,02,01,male,actor_10,data/Actor_10/03-01-04-02-02-01-10.wav
disgust,strong,02,02,male,actor_10,data/Actor_10/03-01-07-02-02-02-10.wav
disgust,normal,01,02,male,actor_10,data/Actor_10/03-01-07-01-01-02-10.wav
sad,normal,01,01,male,actor_10,data/Actor_10/03-01-04-01-01-01-10.wav
fearful,strong,01,01,male,actor_10,data/Actor_10/03-01-06-02-01-01-10.wav
angry,strong,01,02,male,actor_10,data/Actor_10/03-01-05-02-01-02-10.wav
angry,normal,02,02,male,actor_10,data/Actor_10/03-01-05-01-02-02-10.wav
fearful,normal,02,01,male,actor_10,data/Actor_10/03-01-06-01-02-01-10.wav
surprised,normal,01,02,male,actor_10,data/Actor_10/03-01-08-01-01-02-10.wav
surprised,strong,02,02,male,actor_10,data/Actor_10/03-01-08-02-02-02-10.wav
neutral,normal,02,01,male,actor_10,data/Actor_10/03-01-01-01-02-01-10.wav
calm,normal,02,02,male,actor_10,data/Actor_10/03-01-02-01-02-02-10.wav
calm,strong,01,02,male,actor_10,data/Actor_10/03-01-02-02-01-02-10.wav
happy,normal,01,01,male,actor_10,data/Actor_10/03-01-03-01-01-01-10.wav
happy,strong,02,01,male,actor_10,data/Actor_10/03-01-03-02-02-01-10.wav
calm,normal,01,01,male,actor_10,data/Actor_10/03-01-02-01-01-01-10.wav
neutral,normal,01,02,male,actor_10,data/Actor_10/03-01-01-01-01-02-10.wav
calm,strong,02,01,male,actor_10,data/Actor_10/03-01-02-02-02-01-10.wav
happy,normal,02,02,male,actor_10,data/Actor_10/03-01-03-01-02-02-10.wav
happy,strong,01,02,male,actor_10,data/Actor_10/03-01-03-02-01-02-10.wav
disgust,strong,01,01,male,actor_10,data/Actor_10/03-01-07-02-01-01-10.wav
sad,strong,01,02,male,actor_10,data/Actor_10/03-01-04-02-01-02-10.wav
sad,normal,02,02,male,actor_10,data/Actor_10/03-01-04-01-02-02-10.wav
disgust,normal,02,01,male,actor_10,data/Actor_10/03-01-07-01-02-01-10.wav
angry,strong,02,01,male,actor_10,data/Actor_10/03-01-05-02-02-01-10.wav
fearful,strong,02,02,male,actor_10,data/Actor_10/03-01-06-02-02-02-10.wav
fearful,normal,01,02,male,actor_10,data/Actor_10/03-01-06-01-01-02-10.wav
angry,normal,01,01,male,actor_10,data/Actor_10/03-01-05-01-01-01-10.wav
surprised,normal,02,01,male,actor_10,data/Actor_10/03-01-08-01-02-01-10.wav
surprised,strong,01,01,male,actor_10,data/Actor_10/03-01-08-02-01-01-10.wav
disgust,strong,02,01,female,actor_17,data/Actor_17/03-01-07-02-02-01-17.wav
sad,strong,02,02,female,actor_17,data/Actor_17/03-01-04-02-02-02-17.wav
sad,normal,01,02,female,actor_17,data/Actor_17/03-01-04-01-01-02-17.wav
disgust,normal,01,01,female,actor_17,data/Actor_17/03-01-07-01-01-01-17.wav
angry,strong,01,01,female,actor_17,data/Actor_17/03-01-05-02-01-01-17.wav
fearful,strong,01,02,female,actor_17,data/Actor_17/03-01-06-02-01-02-17.wav
fearful,normal,02,02,female,actor_17,data/Actor_17/03-01-06-01-02-02-17.wav
angry,normal,02,01,female,actor_17,data/Actor_17/03-01-05-01-02-01-17.wav
surprised,normal,01,01,female,actor_17,data/Actor_17/03-01-08-01-01-01-17.wav
surprised,strong,02,01,female,actor_17,data/Actor_17/03-01-08-02-02-01-17.wav
calm,normal,02,01,female,actor_17,data/Actor_17/03-01-02-01-02-01-17.wav
neutral,normal,02,02,female,actor_17,data/Actor_17/03-01-01-01-02-02-17.wav
calm,strong,01,01,female,actor_17,data/Actor_17/03-01-02-02-01-01-17.wav
happy,normal,01,02,female,actor_17,data/Actor_17/03-01-03-01-01-02-17.wav
happy,strong,02,02,female,actor_17,data/Actor_17/03-01-03-02-02-02-17.wav
neutral,normal,01,01,female,actor_17,data/Actor_17/03-01-01-01-01-01-17.wav
calm,normal,01,02,female,actor_17,data/Actor_17/03-01-02-01-01-02-17.wav
calm,strong,02,02,female,actor_17,data/Actor_17/03-01-02-02-02-02-17.wav
happy,normal,02,01,female,actor_17,data/Actor_17/03-01-03-01-02-01-17.wav
happy,strong,01,01,female,actor_17,data/Actor_17/03-01-03-02-01-01-17.wav
sad,strong,01,01,female,actor_17,data/Actor_17/03-01-04-02-01-01-17.wav
disgust,strong,01,02,female,actor_17,data/Actor_17/03-01-07-02-01-02-17.wav
disgust,normal,02,02,female,actor_17,data/Actor_17/03-01-07-01-02-02-17.wav
sad,normal,02,01,female,actor_17,data/Actor_17/03-01-04-01-02-01-17.wav
fearful,strong,02,01,female,actor_17,data/Actor_17/03-01-06-02-02-01-17.wav
angry,strong,02,02,female,actor_17,data/Actor_17/03-01-05-02-02-02-17.wav
angry,normal,01,02,female,actor_17,data/Actor_17/03-01-05-01-01-02-17.wav
fearful,normal,01,01,female,actor_17,data/Actor_17/03-01-06-01-01-01-17.wav
surprised,normal,02,02,female,actor_17,data/Actor_17/03-01-08-01-02-02-17.wav
surprised,strong,01,02,female,actor_17,data/Actor_17/03-01-08-02-01-02-17.wav
happy,strong,02,01,female,actor_17,data/Actor_17/03-01-03-02-02-01-17.wav
happy,normal,01,01,female,actor_17,data/Actor_17/03-01-03-01-01-01-17.wav
calm,strong,01,02,female,actor_17,data/Actor_17/03-01-02-02-01-02-17.wav
neutral,normal,02,01,female,actor_17,data/Actor_17/03-01-01-01-02-01-17.wav
calm,normal,02,02,female,actor_17,data/Actor_17/03-01-02-01-02-02-17.wav
angry,normal,02,02,female,actor_17,data/Actor_17/03-01-05-01-02-02-17.wav
fearful,normal,02,01,female,actor_17,data/Actor_17/03-01-06-01-02-01-17.wav
fearful,strong,01,01,female,actor_17,data/Actor_17/03-01-06-02-01-01-17.wav
angry,strong,01,02,female,actor_17,data/Actor_17/03-01-05-02-01-02-17.wav
disgust,normal,01,02,female,actor_17,data/Actor_17/03-01-07-01-01-02-17.wav
sad,normal,01,01,female,actor_17,data/Actor_17/03-01-04-01-01-01-17.wav
sad,strong,02,01,female,actor_17,data/Actor_17/03-01-04-02-02-01-17.wav
disgust,strong,02,02,female,actor_17,data/Actor_17/03-01-07-02-02-02-17.wav
surprised,strong,02,02,female,actor_17,data/Actor_17/03-01-08-02-02-02-17.wav
surprised,normal,01,02,female,actor_17,data/Actor_17/03-01-08-01-01-02-17.wav
fearful,normal,01,02,female,actor_17,data/Actor_17/03-01-06-01-01-02-17.wav
angry,normal,01,01,female,actor_17,data/Actor_17/03-01-05-01-01-01-17.wav
angry,strong,02,01,female,actor_17,data/Actor_17/03-01-05-02-02-01-17.wav
fearful,strong,02,02,female,actor_17,data/Actor_17/03-01-06-02-02-02-17.wav
sad,normal,02,02,female,actor_17,data/Actor_17/03-01-04-01-02-02-17.wav
disgust,normal,02,01,female,actor_17,data/Actor_17/03-01-07-01-02-01-17.wav
disgust,strong,01,01,female,actor_17,data/Actor_17/03-01-07-02-01-01-17.wav
sad,strong,01,02,female,actor_17,data/Actor_17/03-01-04-02-01-02-17.wav
surprised,strong,01,01,female,actor_17,data/Actor_17/03-01-08-02-01-01-17.wav
surprised,normal,02,01,female,actor_17,data/Actor_17/03-01-08-01-02-01-17.wav
happy,strong,01,02,female,actor_17,data/Actor_17/03-01-03-02-01-02-17.wav
happy,normal,02,02,female,actor_17,data/Actor_17/03-01-03-01-02-02-17.wav
calm,strong,02,01,female,actor_17,data/Actor_17/03-01-02-02-02-01-17.wav
calm,normal,01,01,female,actor_17,data/Actor_17/03-01-02-01-01-01-17.wav
neutral,normal,01,02,female,actor_17,data/Actor_17/03-01-01-01-01-02-17.wav
happy,strong,02,02,male,actor_04,data/Actor_04/03-01-03-02-02-02-04.wav
happy,normal,01,02,male,actor_04,data/Actor_04/03-01-03-01-01-02-04.wav
calm,strong,01,01,male,actor_04,data/Actor_04/03-01-02-02-01-01-04.wav
neutral,normal,02,02,male,actor_04,data/Actor_04/03-01-01-01-02-02-04.wav
calm,normal,02,01,male,actor_04,data/Actor_04/03-01-02-01-02-01-04.wav
angry,normal,02,01,male,actor_04,data/Actor_04/03-01-05-01-02-01-04.wav
fearful,normal,02,02,male,actor_04,data/Actor_04/03-01-06-01-02-02-04.wav
fearful,strong,01,02,male,actor_04,data/Actor_04/03-01-06-02-01-02-04.wav
angry,strong,01,01,male,actor_04,data/Actor_04/03-01-05-02-01-01-04.wav
disgust,normal,01,01,male,actor_04,data/Actor_04/03-01-07-01-01-01-04.wav
sad,normal,01,02,male,actor_04,data/Actor_04/03-01-04-01-01-02-04.wav
sad,strong,02,02,male,actor_04,data/Actor_04/03-01-04-02-02-02-04.wav
disgust,strong,02,01,male,actor_04,data/Actor_04/03-01-07-02-02-01-04.wav
surprised,strong,02,01,male,actor_04,data/Actor_04/03-01-08-02-02-01-04.wav
surprised,normal,01,01,male,actor_04,data/Actor_04/03-01-08-01-01-01-04.wav
fearful,normal,01,01,male,actor_04,data/Actor_04/03-01-06-01-01-01-04.wav
angry,normal,01,02,male,actor_04,data/Actor_04/03-01-05-01-01-02-04.wav
angry,strong,02,02,male,actor_04,data/Actor_04/03-01-05-02-02-02-04.wav
fearful,strong,02,01,male,actor_04,data/Actor_04/03-01-06-02-02-01-04.wav
sad,normal,02,01,male,actor_04,data/Actor_04/03-01-04-01-02-01-04.wav
disgust,normal,02,02,male,actor_04,data/Actor_04/03-01-07-01-02-02-04.wav
disgust,strong,01,02,male,actor_04,data/Actor_04/03-01-07-02-01-02-04.wav
sad,strong,01,01,male,actor_04,data/Actor_04/03-01-04-02-01-01-04.wav
surprised,strong,01,02,male,actor_04,data/Actor_04/03-01-08-02-01-02-04.wav
surprised,normal,02,02,male,actor_04,data/Actor_04/03-01-08-01-02-02-04.wav
happy,strong,01,01,male,actor_04,data/Actor_04/03-01-03-02-01-01-04.wav
happy,normal,02,01,male,actor_04,data/Actor_04/03-01-03-01-02-01-04.wav
calm,strong,02,02,male,actor_04,data/Actor_04/03-01-02-02-02-02-04.wav
calm,normal,01,02,male,actor_04,data/Actor_04/03-01-02-01-01-02-04.wav
neutral,normal,01,01,male,actor_04,data/Actor_04/03-01-01-01-01-01-04.wav
disgust,strong,02,02,male,actor_04,data/Actor_04/03-01-07-02-02-02-04.wav
sad,strong,02,01,male,actor_04,data/Actor_04/03-01-04-02-02-01-04.wav
sad,normal,01,01,male,actor_04,data/Actor_04/03-01-04-01-01-01-04.wav
disgust,normal,01,02,male,actor_04,data/Actor_04/03-01-07-01-01-02-04.wav
angry,strong,01,02,male,actor_04,data/Actor_04/03-01-05-02-01-02-04.wav
fearful,strong,01,01,male,actor_04,data/Actor_04/03-01-06-02-01-01-04.wav
fearful,normal,02,01,male,actor_04,data/Actor_04/03-01-06-01-02-01-04.wav
angry,normal,02,02,male,actor_04,data/Actor_04/03-01-05-01-02-02-04.wav
surprised,normal,01,02,male,actor_04,data/Actor_04/03-01-08-01-01-02-04.wav
surprised,strong,02,02,male,actor_04,data/Actor_04/03-01-08-02-02-02-04.wav
calm,normal,02,02,male,actor_04,data/Actor_04/03-01-02-01-02-02-04.wav
neutral,normal,02,01,male,actor_04,data/Actor_04/03-01-01-01-02-01-04.wav
calm,strong,01,02,male,actor_04,data/Actor_04/03-01-02-02-01-02-04.wav
happy,normal,01,01,male,actor_04,data/Actor_04/03-01-03-01-01-01-04.wav
happy,strong,02,01,male,actor_04,data/Actor_04/03-01-03-02-02-01-04.wav
neutral,normal,01,02,male,actor_04,data/Actor_04/03-01-01-01-01-02-04.wav
calm,normal,01,01,male,actor_04,data/Actor_04/03-01-02-01-01-01-04.wav
calm,strong,02,01,male,actor_04,data/Actor_04/03-01-02-02-02-01-04.wav
happy,normal,02,02,male,actor_04,data/Actor_04/03-01-03-01-02-02-04.wav
happy,strong,01,02,male,actor_04,data/Actor_04/03-01-03-02-01-02-04.wav
sad,strong,01,02,male,actor_04,data/Actor_04/03-01-04-02-01-02-04.wav
disgust,strong,01,01,male,actor_04,data/Actor_04/03-01-07-02-01-01-04.wav
disgust,normal,02,01,male,actor_04,data/Actor_04/03-01-07-01-02-01-04.wav
sad,normal,02,02,male,actor_04,data/Actor_04/03-01-04-01-02-02-04.wav
fearful,strong,02,02,male,actor_04,data/Actor_04/03-01-06-02-02-02-04.wav
angry,strong,02,01,male,actor_04,data/Actor_04/03-01-05-02-02-01-04.wav
angry,normal,01,01,male,actor_04,data/Actor_04/03-01-05-01-01-01-04.wav
fearful,normal,01,02,male,actor_04,data/Actor_04/03-01-06-01-01-02-04.wav
surprised,normal,02,01,male,actor_04,data/Actor_04/03-01-08-01-02-01-04.wav
surprised,strong,01,01,male,actor_04,data/Actor_04/03-01-08-02-01-01-04.wav
sad,strong,02,02,female,actor_03,data/Actor_03/03-01-04-02-02-02-03.wav
disgust,strong,02,01,female,actor_03,data/Actor_03/03-01-07-02-02-01-03.wav
disgust,normal,01,01,female,actor_03,data/Actor_03/03-01-07-01-01-01-03.wav
sad,normal,01,02,female,actor_03,data/Actor_03/03-01-04-01-01-02-03.wav
fearful,strong,01,02,female,actor_03,data/Actor_03/03-01-06-02-01-02-03.wav
angry,strong,01,01,female,actor_03,data/Actor_03/03-01-05-02-01-01-03.wav
angry,normal,02,01,female,actor_03,data/Actor_03/03-01-05-01-02-01-03.wav
fearful,normal,02,02,female,actor_03,data/Actor_03/03-01-06-01-02-02-03.wav
surprised,normal,01,01,female,actor_03,data/Actor_03/03-01-08-01-01-01-03.wav
surprised,strong,02,01,female,actor_03,data/Actor_03/03-01-08-02-02-01-03.wav
neutral,normal,02,02,female,actor_03,data/Actor_03/03-01-01-01-02-02-03.wav
calm,normal,02,01,female,actor_03,data/Actor_03/03-01-02-01-02-01-03.wav
calm,strong,01,01,female,actor_03,data/Actor_03/03-01-02-02-01-01-03.wav
happy,normal,01,02,female,actor_03,data/Actor_03/03-01-03-01-01-02-03.wav
happy,strong,02,02,female,actor_03,data/Actor_03/03-01-03-02-02-02-03.wav
calm,normal,01,02,female,actor_03,data/Actor_03/03-01-02-01-01-02-03.wav
neutral,normal,01,01,female,actor_03,data/Actor_03/03-01-01-01-01-01-03.wav
calm,strong,02,02,female,actor_03,data/Actor_03/03-01-02-02-02-02-03.wav
happy,normal,02,01,female,actor_03,data/Actor_03/03-01-03-01-02-01-03.wav
happy,strong,01,01,female,actor_03,data/Actor_03/03-01-03-02-01-01-03.wav
disgust,strong,01,02,female,actor_03,data/Actor_03/03-01-07-02-01-02-03.wav
sad,strong,01,01,female,actor_03,data/Actor_03/03-01-04-02-01-01-03.wav
sad,normal,02,01,female,actor_03,data/Actor_03/03-01-04-01-02-01-03.wav
disgust,normal,02,02,female,actor_03,data/Actor_03/03-01-07-01-02-02-03.wav
angry,strong,02,02,female,actor_03,data/Actor_03/03-01-05-02-02-02-03.wav
fearful,strong,02,01,female,actor_03,data/Actor_03/03-01-06-02-02-01-03.wav
fearful,normal,01,01,female,actor_03,data/Actor_03/03-01-06-01-01-01-03.wav
angry,normal,01,02,female,actor_03,data/Actor_03/03-01-05-01-01-02-03.wav
surprised,normal,02,02,female,actor_03,data/Actor_03/03-01-08-01-02-02-03.wav
surprised,strong,01,02,female,actor_03,data/Actor_03/03-01-08-02-01-02-03.wav
happy,strong,02,01,female,actor_03,data/Actor_03/03-01-03-02-02-01-03.wav
happy,normal,01,01,female,actor_03,data/Actor_03/03-01-03-01-01-01-03.wav
calm,strong,01,02,female,actor_03,data/Actor_03/03-01-02-02-01-02-03.wav
calm,normal,02,02,female,actor_03,data/Actor_03/03-01-02-01-02-02-03.wav
neutral,normal,02,01,female,actor_03,data/Actor_03/03-01-01-01-02-01-03.wav
fearful,normal,02,01,female,actor_03,data/Actor_03/03-01-06-01-02-01-03.wav
angry,normal,02,02,female,actor_03,data/Actor_03/03-01-05-01-02-02-03.wav
angry,strong,01,02,female,actor_03,data/Actor_03/03-01-05-02-01-02-03.wav
fearful,strong,01,01,female,actor_03,data/Actor_03/03-01-06-02-01-01-03.wav
sad,normal,01,01,female,actor_03,data/Actor_03/03-01-04-01-01-01-03.wav
disgust,normal,01,02,female,actor_03,data/Actor_03/03-01-07-01-01-02-03.wav
disgust,strong,02,02,female,actor_03,data/Actor_03/03-01-07-02-02-02-03.wav
sad,strong,02,01,female,actor_03,data/Actor_03/03-01-04-02-02-01-03.wav
surprised,strong,02,02,female,actor_03,data/Actor_03/03-01-08-02-02-02-03.wav
surprised,normal,01,02,female,actor_03,data/Actor_03/03-01-08-01-01-02-03.wav
angry,normal,01,01,female,actor_03,data/Actor_03/03-01-05-01-01-01-03.wav
fearful,normal,01,02,female,actor_03,data/Actor_03/03-01-06-01-01-02-03.wav
fearful,strong,02,02,female,actor_03,data/Actor_03/03-01-06-02-02-02-03.wav
angry,strong,02,01,female,actor_03,data/Actor_03/03-01-05-02-02-01-03.wav
disgust,normal,02,01,female,actor_03,data/Actor_03/03-01-07-01-02-01-03.wav
sad,normal,02,02,female,actor_03,data/Actor_03/03-01-04-01-02-02-03.wav
sad,strong,01,02,female,actor_03,data/Actor_03/03-01-04-02-01-02-03.wav
disgust,strong,01,01,female,actor_03,data/Actor_03/03-01-07-02-01-01-03.wav
surprised,strong,01,01,female,actor_03,data/Actor_03/03-01-08-02-01-01-03.wav
surprised,normal,02,01,female,actor_03,data/Actor_03/03-01-08-01-02-01-03.wav
happy,strong,01,02,female,actor_03,data/Actor_03/03-01-03-02-01-02-03.wav
happy,normal,02,02,female,actor_03,data/Actor_03/03-01-03-01-02-02-03.wav
calm,strong,02,01,female,actor_03,data/Actor_03/03-01-02-02-02-01-03.wav
neutral,normal,01,02,female,actor_03,data/Actor_03/03-01-01-01-01-02-03.wav
calm,normal,01,01,female,actor_03,data/Actor_03/03-01-02-01-01-01-03.wav
fearful,normal,02,02,male,actor_02,data/Actor_02/03-01-06-01-02-02-02.wav
angry,normal,02,01,male,actor_02,data/Actor_02/03-01-05-01-02-01-02.wav
angry,strong,01,01,male,actor_02,data/Actor_02/03-01-05-02-01-01-02.wav
fearful,strong,01,02,male,actor_02,data/Actor_02/03-01-06-02-01-02-02.wav
sad,normal,01,02,male,actor_02,data/Actor_02/03-01-04-01-01-02-02.wav
disgust,normal,01,01,male,actor_02,data/Actor_02/03-01-07-01-01-01-02.wav
disgust,strong,02,01,male,actor_02,data/Actor_02/03-01-07-02-02-01-02.wav
sad,strong,02,02,male,actor_02,data/Actor_02/03-01-04-02-02-02-02.wav
surprised,strong,02,01,male,actor_02,data/Actor_02/03-01-08-02-02-01-02.wav
surprised,normal,01,01,male,actor_02,data/Actor_02/03-01-08-01-01-01-02.wav
happy,strong,02,02,male,actor_02,data/Actor_02/03-01-03-02-02-02-02.wav
happy,normal,01,02,male,actor_02,data/Actor_02/03-01-03-01-01-02-02.wav
calm,strong,01,01,male,actor_02,data/Actor_02/03-01-02-02-01-01-02.wav
calm,normal,02,01,male,actor_02,data/Actor_02/03-01-02-01-02-01-02.wav
neutral,normal,02,02,male,actor_02,data/Actor_02/03-01-01-01-02-02-02.wav
happy,strong,01,01,male,actor_02,data/Actor_02/03-01-03-02-01-01-02.wav
happy,normal,02,01,male,actor_02,data/Actor_02/03-01-03-01-02-01-02.wav
calm,strong,02,02,male,actor_02,data/Actor_02/03-01-02-02-02-02-02.wav
neutral,normal,01,01,male,actor_02,data/Actor_02/03-01-01-01-01-01-02.wav
calm,normal,01,02,male,actor_02,data/Actor_02/03-01-02-01-01-02-02.wav
angry,normal,01,02,male,actor_02,data/Actor_02/03-01-05-01-01-02-02.wav
fearful,normal,01,01,male,actor_02,data/Actor_02/03-01-06-01-01-01-02.wav
fearful,strong,02,01,male,actor_02,data/Actor_02/03-01-06-02-02-01-02.wav
angry,strong,02,02,male,actor_02,data/Actor_02/03-01-05-02-02-02-02.wav
disgust,normal,02,02,male,actor_02,data/Actor_02/03-01-07-01-02-02-02.wav
sad,normal,02,01,male,actor_02,data/Actor_02/03-01-04-01-02-01-02.wav
sad,strong,01,01,male,actor_02,data/Actor_02/03-01-04-02-01-01-02.wav
disgust,strong,01,02,male,actor_02,data/Actor_02/03-01-07-02-01-02-02.wav
surprised,strong,01,02,male,actor_02,data/Actor_02/03-01-08-02-01-02-02.wav
surprised,normal,02,02,male,actor_02,data/Actor_02/03-01-08-01-02-02-02.wav
neutral,normal,02,01,male,actor_02,data/Actor_02/03-01-01-01-02-01-02.wav
calm,normal,02,02,male,actor_02,data/Actor_02/03-01-02-01-02-02-02.wav
calm,strong,01,02,male,actor_02,data/Actor_02/03-01-02-02-01-02-02.wav
happy,normal,01,01,male,actor_02,data/Actor_02/03-01-03-01-01-01-02.wav
happy,strong,02,01,male,actor_02,data/Actor_02/03-01-03-02-02-01-02.wav
sad,strong,02,01,male,actor_02,data/Actor_02/03-01-04-02-02-01-02.wav
disgust,strong,02,02,male,actor_02,data/Actor_02/03-01-07-02-02-02-02.wav
disgust,normal,01,02,male,actor_02,data/Actor_02/03-01-07-01-01-02-02.wav
sad,normal,01,01,male,actor_02,data/Actor_02/03-01-04-01-01-01-02.wav
fearful,strong,01,01,male,actor_02,data/Actor_02/03-01-06-02-01-01-02.wav
angry,strong,01,02,male,actor_02,data/Actor_02/03-01-05-02-01-02-02.wav
angry,normal,02,02,male,actor_02,data/Actor_02/03-01-05-01-02-02-02.wav
fearful,normal,02,01,male,actor_02,data/Actor_02/03-01-06-01-02-01-02.wav
surprised,normal,01,02,male,actor_02,data/Actor_02/03-01-08-01-01-02-02.wav
surprised,strong,02,02,male,actor_02,data/Actor_02/03-01-08-02-02-02-02.wav
disgust,strong,01,01,male,actor_02,data/Actor_02/03-01-07-02-01-01-02.wav
sad,strong,01,02,male,actor_02,data/Actor_02/03-01-04-02-01-02-02.wav
sad,normal,02,02,male,actor_02,data/Actor_02/03-01-04-01-02-02-02.wav
disgust,normal,02,01,male,actor_02,data/Actor_02/03-01-07-01-02-01-02.wav
angry,strong,02,01,male,actor_02,data/Actor_02/03-01-05-02-02-01-02.wav
fearful,strong,02,02,male,actor_02,data/Actor_02/03-01-06-02-02-02-02.wav
fearful,normal,01,02,male,actor_02,data/Actor_02/03-01-06-01-01-02-02.wav
angry,normal,01,01,male,actor_02,data/Actor_02/03-01-05-01-01-01-02.wav
surprised,normal,02,01,male,actor_02,data/Actor_02/03-01-08-01-02-01-02.wav
surprised,strong,01,01,male,actor_02,data/Actor_02/03-01-08-02-01-01-02.wav
calm,normal,01,01,male,actor_02,data/Actor_02/03-01-02-01-01-01-02.wav
neutral,normal,01,02,male,actor_02,data/Actor_02/03-01-01-01-01-02-02.wav
